status file for recon-all
Sat Dec  7 22:03:18 CST 2024
#@# Qdec Cache surf2surf lh area.pial fwhm10 fsaverage Sun Dec  8 01:20:37 CST 2024
#@# Qdec Cache surf2surf lh area.pial fwhm15 fsaverage Sun Dec  8 01:20:39 CST 2024
#@# Qdec Cache surf2surf lh area.pial fwhm20 fsaverage Sun Dec  8 01:20:40 CST 2024
#@# Qdec Cache surf2surf lh area.pial fwhm25 fsaverage Sun Dec  8 01:20:42 CST 2024
#@# Qdec Cache surf2surf lh volume fwhm0 fsaverage Sun Dec  8 01:20:45 CST 2024
#@# Qdec Cache surf2surf lh volume fwhm5 fsaverage Sun Dec  8 01:20:46 CST 2024
#@# Qdec Cache surf2surf lh volume fwhm10 fsaverage Sun Dec  8 01:20:47 CST 2024
#@# Qdec Cache surf2surf lh volume fwhm15 fsaverage Sun Dec  8 01:20:49 CST 2024
#@# Qdec Cache surf2surf lh volume fwhm20 fsaverage Sun Dec  8 01:20:51 CST 2024
#@# Qdec Cache surf2surf lh volume fwhm25 fsaverage Sun Dec  8 01:20:53 CST 2024
#@# Qdec Cache surf2surf lh curv fwhm0 fsaverage Sun Dec  8 01:20:55 CST 2024
#@# Qdec Cache surf2surf lh curv fwhm5 fsaverage Sun Dec  8 01:20:56 CST 2024
#@# Qdec Cache surf2surf lh curv fwhm10 fsaverage Sun Dec  8 01:20:57 CST 2024
#@# Qdec Cache surf2surf lh curv fwhm15 fsaverage Sun Dec  8 01:20:59 CST 2024
#@# Qdec Cache surf2surf lh curv fwhm20 fsaverage Sun Dec  8 01:21:01 CST 2024
#@# Qdec Cache surf2surf lh curv fwhm25 fsaverage Sun Dec  8 01:21:03 CST 2024
#@# Qdec Cache surf2surf lh sulc fwhm0 fsaverage Sun Dec  8 01:21:05 CST 2024
#@# Qdec Cache surf2surf lh sulc fwhm5 fsaverage Sun Dec  8 01:21:06 CST 2024
#@# Qdec Cache surf2surf lh sulc fwhm10 fsaverage Sun Dec  8 01:21:08 CST 2024
#@# Qdec Cache surf2surf lh sulc fwhm15 fsaverage Sun Dec  8 01:21:09 CST 2024
#@# Qdec Cache surf2surf lh sulc fwhm20 fsaverage Sun Dec  8 01:21:11 CST 2024
#@# Qdec Cache surf2surf lh sulc fwhm25 fsaverage Sun Dec  8 01:21:13 CST 2024
#@# Qdec Cache surf2surf lh white.K fwhm0 fsaverage Sun Dec  8 01:21:15 CST 2024
#@# Qdec Cache surf2surf lh white.K fwhm5 fsaverage Sun Dec  8 01:21:16 CST 2024
#@# Qdec Cache surf2surf lh white.K fwhm10 fsaverage Sun Dec  8 01:21:18 CST 2024
#@# Qdec Cache surf2surf lh white.K fwhm15 fsaverage Sun Dec  8 01:21:20 CST 2024
#@# Qdec Cache surf2surf lh white.K fwhm20 fsaverage Sun Dec  8 01:21:21 CST 2024
#@# Qdec Cache surf2surf lh white.K fwhm25 fsaverage Sun Dec  8 01:21:23 CST 2024
#@# Qdec Cache surf2surf lh white.H fwhm0 fsaverage Sun Dec  8 01:21:26 CST 2024
#@# Qdec Cache surf2surf lh white.H fwhm5 fsaverage Sun Dec  8 01:21:26 CST 2024
#@# Qdec Cache surf2surf lh white.H fwhm10 fsaverage Sun Dec  8 01:21:28 CST 2024
#@# Qdec Cache surf2surf lh white.H fwhm15 fsaverage Sun Dec  8 01:21:30 CST 2024
#@# Qdec Cache surf2surf lh white.H fwhm20 fsaverage Sun Dec  8 01:21:32 CST 2024
#@# Qdec Cache surf2surf lh white.H fwhm25 fsaverage Sun Dec  8 01:21:34 CST 2024
#@# Qdec Cache surf2surf lh jacobian_white fwhm0 fsaverage Sun Dec  8 01:21:36 CST 2024
#@# Qdec Cache surf2surf lh jacobian_white fwhm5 fsaverage Sun Dec  8 01:21:37 CST 2024
#@# Qdec Cache surf2surf lh jacobian_white fwhm10 fsaverage Sun Dec  8 01:21:38 CST 2024
#@# Qdec Cache surf2surf lh jacobian_white fwhm15 fsaverage Sun Dec  8 01:21:40 CST 2024
#@# Qdec Cache surf2surf lh jacobian_white fwhm20 fsaverage Sun Dec  8 01:21:42 CST 2024
#@# Qdec Cache surf2surf lh jacobian_white fwhm25 fsaverage Sun Dec  8 01:21:44 CST 2024
#@# Qdec Cache surf2surf lh w-g.pct.mgh fwhm0 fsaverage Sun Dec  8 01:21:46 CST 2024
#@# Qdec Cache surf2surf lh w-g.pct.mgh fwhm5 fsaverage Sun Dec  8 01:21:47 CST 2024
#@# Qdec Cache surf2surf lh w-g.pct.mgh fwhm10 fsaverage Sun Dec  8 01:21:48 CST 2024
#@# Qdec Cache surf2surf lh w-g.pct.mgh fwhm15 fsaverage Sun Dec  8 01:21:50 CST 2024
#@# Qdec Cache surf2surf lh w-g.pct.mgh fwhm20 fsaverage Sun Dec  8 01:21:52 CST 2024
#@# Qdec Cache surf2surf lh w-g.pct.mgh fwhm25 fsaverage Sun Dec  8 01:21:54 CST 2024
#@# Qdec Cache surf2surf rh thickness fwhm0 fsaverage Sun Dec  8 01:21:56 CST 2024
#@# Qdec Cache surf2surf rh thickness fwhm5 fsaverage Sun Dec  8 01:21:57 CST 2024
#@# Qdec Cache surf2surf rh thickness fwhm10 fsaverage Sun Dec  8 01:21:59 CST 2024
#@# Qdec Cache surf2surf rh thickness fwhm15 fsaverage Sun Dec  8 01:22:00 CST 2024
#@# Qdec Cache surf2surf rh thickness fwhm20 fsaverage Sun Dec  8 01:22:02 CST 2024
#@# Qdec Cache surf2surf rh thickness fwhm25 fsaverage Sun Dec  8 01:22:04 CST 2024
#@# Qdec Cache surf2surf rh area fwhm0 fsaverage Sun Dec  8 01:22:06 CST 2024
#@# Qdec Cache surf2surf rh area fwhm5 fsaverage Sun Dec  8 01:22:07 CST 2024
#@# Qdec Cache surf2surf rh area fwhm10 fsaverage Sun Dec  8 01:22:09 CST 2024
#@# Qdec Cache surf2surf rh area fwhm15 fsaverage Sun Dec  8 01:22:11 CST 2024
#@# Qdec Cache surf2surf rh area fwhm20 fsaverage Sun Dec  8 01:22:13 CST 2024
#@# Qdec Cache surf2surf rh area fwhm25 fsaverage Sun Dec  8 01:22:15 CST 2024
#@# Qdec Cache surf2surf rh area.pial fwhm0 fsaverage Sun Dec  8 01:22:17 CST 2024
#@# Qdec Cache surf2surf rh area.pial fwhm5 fsaverage Sun Dec  8 01:22:18 CST 2024
#@# Qdec Cache surf2surf rh area.pial fwhm10 fsaverage Sun Dec  8 01:22:19 CST 2024
#@# Qdec Cache surf2surf rh area.pial fwhm15 fsaverage Sun Dec  8 01:22:21 CST 2024
#@# Qdec Cache surf2surf rh area.pial fwhm20 fsaverage Sun Dec  8 01:22:23 CST 2024
#@# Qdec Cache surf2surf rh area.pial fwhm25 fsaverage Sun Dec  8 01:22:25 CST 2024
#@# Qdec Cache surf2surf rh volume fwhm0 fsaverage Sun Dec  8 01:22:27 CST 2024
